Gene	CGC	Publications	Cancer type frequency per number of publications
ROCK1	No	12	"Liver Cancer":25%;"Colorectal Cancer":16%;"Lung Cancer":8%;"Blood Cancer":8%;"Nervous System Cancer":16%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Gastric Cancer":8%;
ROCK2	No	12	"Liver Cancer":16%;"Blood Cancer":8%;"Colorectal Cancer":33%;"Pancreatic Cancer":8%;"Skin Cancer":8%;"Nervous System Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
SCAF8	No	10	"Liver Cancer":20%;"Lung Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;
SEC63	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":20%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
SPPL3	No	12	"Liver Cancer":16%;"Breast Cancer":8%;"Blood Cancer":8%;"Pancreatic Cancer":16%;"Colorectal Cancer":25%;"Nervous System Cancer":16%;"Gastric Cancer":8%;
TAB2	No	12	"Liver Cancer":16%;"Lung Cancer":8%;"Blood Cancer":16%;"Colorectal Cancer":25%;"Pancreatic Cancer":8%;"Nervous System Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
TLK1	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
TNKS	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
TNKS2	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Nervous System Cancer":18%;"Gastric Cancer":9%;
TOP1	Yes	12	"Liver Cancer":25%;"Blood Cancer":16%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
UBE2D3	No	13	"Liver Cancer":23%;"Nervous System Cancer":7%;"Blood Cancer":7%;"Colorectal Cancer":15%;Sarcoma:7%;"Pancreatic Cancer":15%;"Skin Cancer":7%;"Breast Cancer":7%;"Gastric Cancer":7%;
WAPL	No	12	"Liver Cancer":16%;"Lung Cancer":8%;"Blood Cancer":8%;"Colorectal Cancer":25%;Sarcoma:8%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;"Nervous System Cancer":8%;
YTHDF3	No	11	"Liver Cancer":18%;"Breast Cancer":18%;"Blood Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
ZNF638	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
ZFR	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Nervous System Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
ACVR2A	Yes	10	"Liver Cancer":20%;Mixed:10%;"Pancreatic Cancer":20%;"Colorectal Cancer":30%;"Breast Cancer":10%;"Gastric Cancer":10%;
AFF1	Yes	11	"Liver Cancer":18%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;Sarcoma:9%;"Skin Cancer":9%;"Gastric Cancer":9%;
ARHGAP21	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Colorectal Cancer":36%;"Pancreatic Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
ARID1A	Yes	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
ASXL1	Yes	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":20%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;
AXIN1	Yes	10	"Liver Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
CCNY	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Pancreatic Cancer":22%;Sarcoma:11%;"Nervous System Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
CSDE1	No	11	"Liver Cancer":18%;"Blood Cancer":27%;"Colorectal Cancer":18%;Sarcoma:9%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
DLG1	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
ECPAS	No	11	"Liver Cancer":18%;"Breast Cancer":9%;"Blood Cancer":9%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Gastric Cancer":9%;
EP300	Yes	11	"Liver Cancer":27%;"Breast Cancer":9%;"Blood Cancer":18%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;
ERAS	No	10	"Blood Cancer":60%;Sarcoma:10%;"Skin Cancer":20%;"Nervous System Cancer":10%;
FAM13B	No	10	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":30%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
HECTD1	No	11	"Liver Cancer":27%;"Breast Cancer":18%;"Lung Cancer":9%;"Blood Cancer":9%;"Colorectal Cancer":18%;"Pancreatic Cancer":9%;"Gastric Cancer":9%;
HNRNPC	No	10	"Liver Cancer":20%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Skin Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
IKZF1	Yes	10	"Blood Cancer":100%;
IPO7	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
LATS1	Yes	10	"Liver Cancer":30%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
LPP	Yes	11	"Liver Cancer":9%;"Colorectal Cancer":27%;"Breast Cancer":18%;"Blood Cancer":9%;"Nervous System Cancer":9%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
MAP4K3	No	9	"Liver Cancer":22%;"Lung Cancer":11%;"Colorectal Cancer":33%;Sarcoma:11%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
MAPK8	No	11	"Liver Cancer":9%;Mixed:9%;"Colorectal Cancer":18%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Nervous System Cancer":18%;"Breast Cancer":9%;"Gastric Cancer":9%;"Blood Cancer":9%;
MEF2A	No	12	"Liver Cancer":16%;"Breast Cancer":16%;"Blood Cancer":8%;Sarcoma:8%;"Pancreatic Cancer":8%;"Skin Cancer":16%;"Nervous System Cancer":8%;"Colorectal Cancer":8%;"Gastric Cancer":8%;
MYB	Yes	11	"Blood Cancer":81%;"Colorectal Cancer":18%;
PTPRK	Yes	10	"Liver Cancer":20%;"Nervous System Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":40%;"Gastric Cancer":10%;
QKI	Yes	10	"Liver Cancer":40%;"Blood Cancer":10%;"Nervous System Cancer":20%;Sarcoma:10%;"Pancreatic Cancer":10%;"Gastric Cancer":10%;
RLF	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
SLMAP	No	11	"Liver Cancer":18%;"Lung Cancer":9%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Breast Cancer":9%;"Gastric Cancer":9%;
TCF7L2	Yes	12	"Liver Cancer":25%;"Colorectal Cancer":33%;"Blood Cancer":8%;"Nervous System Cancer":8%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
UBE3A	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
USP34	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Nervous System Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
XPO7	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Gastric Cancer":9%;"Nervous System Cancer":9%;
YWHAE	Yes	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":20%;"Nervous System Cancer":10%;
ZBTB20	No	11	"Liver Cancer":36%;"Nervous System Cancer":36%;"Blood Cancer":9%;"Pancreatic Cancer":9%;"Skin Cancer":9%;
ZCCHC7	No	12	"Liver Cancer":16%;"Blood Cancer":16%;"Nervous System Cancer":8%;"Colorectal Cancer":33%;"Pancreatic Cancer":8%;"Breast Cancer":8%;"Gastric Cancer":8%;
ZNF292	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
AGO2	No	9	"Liver Cancer":33%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
AHCYL1	No	9	"Liver Cancer":33%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
AKAP13	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;"Skin Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
"ANKHD1-EIF4EBP3 ANKHD1"	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Skin Cancer":10%;"Gastric Cancer":10%;
ARID2	Yes	10	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":10%;"Gastric Cancer":10%;
ATP2A2	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Skin Cancer":10%;"Gastric Cancer":10%;
ATRX	Yes	9	"Liver Cancer":22%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Skin Cancer":22%;"Gastric Cancer":11%;
BACH2	No	11	"Blood Cancer":90%;"Skin Cancer":9%;
CHD1	No	11	"Liver Cancer":27%;"Lung Cancer":9%;"Blood Cancer":9%;"Colorectal Cancer":18%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Nervous System Cancer":9%;"Gastric Cancer":9%;
CLINT1	No	10	"Liver Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Gastric Cancer":10%;
CSNK1G3	No	9	"Liver Cancer":22%;"Nervous System Cancer":22%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
CTBP2	No	11	"Blood Cancer":9%;"Liver Cancer":9%;"Nervous System Cancer":18%;"Pancreatic Cancer":18%;"Colorectal Cancer":18%;"Skin Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
DMXL1	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
EHMT1	No	11	"Liver Cancer":18%;"Blood Cancer":9%;"Nervous System Cancer":18%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
ELF2	No	11	"Liver Cancer":18%;Mixed:9%;"Blood Cancer":9%;"Colorectal Cancer":27%;Sarcoma:9%;"Pancreatic Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
FAF1	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Nervous System Cancer":33%;"Colorectal Cancer":11%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
FIP1L1	Yes	11	"Liver Cancer":27%;"Blood Cancer":9%;"Nervous System Cancer":9%;"Colorectal Cancer":27%;"Pancreatic Cancer":9%;"Breast Cancer":9%;"Gastric Cancer":9%;
GATAD2B	No	11	"Liver Cancer":18%;"Breast Cancer":9%;"Blood Cancer":18%;"Nervous System Cancer":9%;"Colorectal Cancer":18%;"Pancreatic Cancer":9%;"Skin Cancer":9%;"Gastric Cancer":9%;
GDI2	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
GMDS	No	10	"Liver Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":40%;"Pancreatic Cancer":10%;"Nervous System Cancer":20%;"Gastric Cancer":10%;
GNB1	No	9	"Liver Cancer":22%;"Blood Cancer":22%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
LSM14A	Yes	10	"Liver Cancer":10%;"Blood Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":30%;"Skin Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
MAEA	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Pancreatic Cancer":22%;"Colorectal Cancer":11%;"Skin Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
MAGI3	No	10	"Liver Cancer":20%;"Lung Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
MED13L	No	9	"Blood Cancer":11%;"Nervous System Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
NAA15	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":30%;"Skin Cancer":10%;"Breast Cancer":10%;
NEDD4	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":20%;"Nervous System Cancer":10%;
NFATC3	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Nervous System Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
NFKB1	No	10	"Blood Cancer":50%;Mixed:10%;"Colorectal Cancer":10%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;
NOTCH2	Yes	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":10%;Sarcoma:10%;"Pancreatic Cancer":10%;"Skin Cancer":20%;
NRIP1	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":20%;"Gastric Cancer":10%;
NSD3	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;"Breast Cancer":10%;"Gastric Cancer":10%;
PDLIM5	No	9	"Liver Cancer":11%;"Blood Cancer":11%;"Nervous System Cancer":22%;"Colorectal Cancer":22%;"Pancreatic Cancer":22%;"Breast Cancer":11%;
PRDM16	Yes	10	"Blood Cancer":40%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
RYBP	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
SIPA1L1	No	9	"Liver Cancer":11%;"Blood Cancer":11%;"Colorectal Cancer":44%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
SMG1	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
SON	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
SOS1	No	10	"Liver Cancer":20%;"Blood Cancer":70%;Mixed:10%;
SYNCRIP	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Pancreatic Cancer":18%;"Colorectal Cancer":27%;"Skin Cancer":9%;"Breast Cancer":9%;
TAX1BP1	No	10	"Liver Cancer":20%;"Blood Cancer":30%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;
TBL1X	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Skin Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
TBL1XR1	Yes	10	"Liver Cancer":20%;"Blood Cancer":10%;Sarcoma:10%;"Pancreatic Cancer":10%;"Nervous System Cancer":20%;"Breast Cancer":10%;"Colorectal Cancer":10%;"Gastric Cancer":10%;
UBE2D2	No	9	"Liver Cancer":22%;"Breast Cancer":11%;"Blood Cancer":11%;Sarcoma:11%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
UBE2L3	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
UHRF2	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;
USP47	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":20%;"Colorectal Cancer":10%;"Pancreatic Cancer":20%;"Skin Cancer":10%;"Gastric Cancer":10%;
USP7	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
VGLL4	No	12	"Liver Cancer":25%;Mixed:8%;"Blood Cancer":8%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;"Gastric Cancer":8%;
YY1	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Gastric Cancer":10%;
ZFX	No	11	"Liver Cancer":27%;"Blood Cancer":9%;"Pancreatic Cancer":27%;"Colorectal Cancer":27%;"Breast Cancer":9%;
ABHD17C	No	9	"Liver Cancer":22%;"Blood Cancer":22%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
AFF4	Yes	10	"Liver Cancer":20%;"Blood Cancer":10%;"Nervous System Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":30%;"Gastric Cancer":10%;
AP1G1	No	9	"Liver Cancer":22%;"Blood Cancer":22%;"Pancreatic Cancer":22%;"Colorectal Cancer":22%;"Nervous System Cancer":11%;
APC	Yes	9	"Liver Cancer":11%;"Blood Cancer":22%;"Colorectal Cancer":55%;"Gastric Cancer":11%;
ARID4B	No	9	"Liver Cancer":22%;"Pancreatic Cancer":11%;"Colorectal Cancer":33%;"Nervous System Cancer":22%;"Gastric Cancer":11%;
ATF7IP	No	10	"Liver Cancer":20%;"Breast Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":10%;
ATP13A3	No	9	"Liver Cancer":22%;"Lung Cancer":11%;"Blood Cancer":22%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;
ATP8B1	No	9	"Liver Cancer":11%;Mixed:11%;"Blood Cancer":11%;"Colorectal Cancer":44%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
BTBD7	No	9	"Liver Cancer":22%;"Lung Cancer":11%;"Blood Cancer":11%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Breast Cancer":11%;
CCAR1	No	9	"Liver Cancer":33%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
CDK12	Yes	9	"Liver Cancer":22%;"Blood Cancer":11%;"Pancreatic Cancer":22%;"Colorectal Cancer":22%;"Breast Cancer":11%;"Gastric Cancer":11%;
CERS6	No	8	"Liver Cancer":25%;"Blood Cancer":12%;"Colorectal Cancer":37%;"Pancreatic Cancer":12%;"Gastric Cancer":12%;
CHD9	No	9	"Liver Cancer":11%;"Blood Cancer":33%;Sarcoma:11%;"Skin Cancer":11%;"Nervous System Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
CSNK1D	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
CSTF3	No	10	"Liver Cancer":10%;"Colorectal Cancer":30%;"Blood Cancer":20%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
DAG1	No	9	"Liver Cancer":11%;"Blood Cancer":11%;"Pancreatic Cancer":11%;"Colorectal Cancer":33%;"Skin Cancer":22%;"Nervous System Cancer":11%;
DNAJC1	No	9	"Liver Cancer":11%;"Blood Cancer":22%;"Pancreatic Cancer":22%;"Colorectal Cancer":11%;Sarcoma:11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
EIF4ENIF1	No	10	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":10%;"Skin Cancer":10%;"Nervous System Cancer":20%;"Breast Cancer":10%;"Gastric Cancer":10%;
EP400	No	9	"Liver Cancer":22%;"Breast Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Gastric Cancer":11%;
FBXW11	No	8	"Liver Cancer":25%;"Lung Cancer":12%;"Colorectal Cancer":25%;"Pancreatic Cancer":12%;"Nervous System Cancer":12%;"Gastric Cancer":12%;
FCHSD2	No	10	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
FUBP1	Yes	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":10%;
FXR1	No	9	"Liver Cancer":22%;"Colorectal Cancer":33%;"Blood Cancer":11%;Sarcoma:11%;"Pancreatic Cancer":11%;"Gastric Cancer":11%;
GATAD2A	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Nervous System Cancer":11%;"Pancreatic Cancer":22%;"Colorectal Cancer":33%;
GPATCH8	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
HNRNPD	No	10	"Liver Cancer":20%;"Breast Cancer":10%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
ILRUN	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":30%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
ITCH	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":20%;Sarcoma:10%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
KCNQ1	No	8	"Liver Cancer":12%;"Blood Cancer":12%;"Colorectal Cancer":50%;"Pancreatic Cancer":12%;"Gastric Cancer":12%;
KDM1A	No	10	"Liver Cancer":10%;"Nervous System Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":20%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
KDM2A	No	10	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;"Breast Cancer":10%;"Gastric Cancer":10%;
LARP1	No	8	"Liver Cancer":25%;"Blood Cancer":12%;"Colorectal Cancer":37%;"Pancreatic Cancer":12%;"Gastric Cancer":12%;
LCOR	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Skin Cancer":10%;"Nervous System Cancer":10%;"Gastric Cancer":10%;
LINC-PINT	No	9	"Liver Cancer":11%;"Breast Cancer":11%;"Blood Cancer":55%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
LUC7L	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
MAGI1	No	10	"Liver Cancer":20%;Sarcoma:10%;"Lung Cancer":10%;"Nervous System Cancer":10%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":10%;
MAP3K1	Yes	9	"Liver Cancer":22%;"Nervous System Cancer":11%;"Pancreatic Cancer":33%;"Colorectal Cancer":22%;"Skin Cancer":11%;
MAP7	No	10	"Liver Cancer":30%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
MARK2	No	8	"Liver Cancer":12%;"Blood Cancer":12%;"Colorectal Cancer":37%;"Pancreatic Cancer":12%;"Nervous System Cancer":12%;"Breast Cancer":12%;
MBNL2	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Pancreatic Cancer":22%;"Colorectal Cancer":22%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
MCMBP	No	9	"Liver Cancer":11%;"Blood Cancer":11%;"Pancreatic Cancer":22%;"Colorectal Cancer":33%;"Breast Cancer":11%;"Gastric Cancer":11%;
MIER1	No	9	"Liver Cancer":22%;"Blood Cancer":11%;"Nervous System Cancer":22%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Skin Cancer":11%;
MRTFA	No	9	"Liver Cancer":22%;"Blood Cancer":22%;"Nervous System Cancer":11%;"Colorectal Cancer":11%;"Pancreatic Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
MTMR3	No	9	"Liver Cancer":33%;"Blood Cancer":22%;"Colorectal Cancer":22%;"Nervous System Cancer":11%;"Gastric Cancer":11%;
NFYC	No	10	"Liver Cancer":20%;"Blood Cancer":50%;"Colorectal Cancer":10%;"Pancreatic Cancer":10%;"Skin Cancer":10%;
NPEPPS	No	9	"Liver Cancer":33%;"Blood Cancer":11%;"Colorectal Cancer":33%;"Pancreatic Cancer":11%;"Nervous System Cancer":11%;
NR2C2	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;"Pancreatic Cancer":10%;"Nervous System Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
NSD2	No	9	"Blood Cancer":33%;"Liver Cancer":11%;"Nervous System Cancer":22%;"Colorectal Cancer":33%;
PAPOLA	No	10	"Liver Cancer":20%;"Blood Cancer":10%;"Colorectal Cancer":30%;Sarcoma:10%;"Pancreatic Cancer":10%;"Breast Cancer":10%;"Gastric Cancer":10%;
PTBP3	No	9	"Liver Cancer":22%;"Blood Cancer":22%;"Colorectal Cancer":22%;"Pancreatic Cancer":11%;"Breast Cancer":11%;"Gastric Cancer":11%;
